Row Labels,Sum of critical + direct,entity_type
Hilltop Puppies LLC,0,ORG
"Financially Unstable, LLC",0,ORG
First Light Farms LLC,0,ORG
HOMESTEAD PUPPIES LLC,0,ORG
Flat Creek Farm,0,ORG
Flowerbox Friends LLC,0,ORG
Horseshoe Drive Kennel LLC,0,ORG
"Hunter Ridge Kennels, LLC",0,ORG
Double B Inc,0,ORG
Dennehy Services Llc,0,ORG
CHUPP FARMS CANINE LLC,0,ORG
Circle Drive Pets LLC,0,ORG
"CKS Investments, Inc.",0,ORG
Clark Station Kennels LLC,0,ORG
Cedar Hill Kennels LLC,0,ORG
Cedar Lane Pets LLC,0,ORG
Clear Fork Companions LLC,0,ORG
Cloveridge Kennel LLC,0,ORG
DAVIDSON ENTERPRISES,0,ORG
Daystar Puppies LLC,0,ORG
COMFORT CANINES LLC,0,ORG
COMPANIONS FOREVER LLC,0,ORG
Cornerstone Cavaliers LLC,0,ORG
"Cedar Tree Farms, LLC",0,ORG
Country Acres Kennel LLC,0,ORG
Country Hill Kennel LLC,0,ORG
Country Kennels LLC,0,ORG
Country Meadow Pets LLC,0,ORG
COUNTRY MINI DOODLE FARMS LLC,0,ORG
COUNTRY MINIDOODLES LLC,0,ORG
Country Road Canines LLC,0,ORG
Country Road Kennels LLC,0,ORG
Country Sky Farms LLC,0,ORG
Countryside Kennel LLC,0,ORG
Countryside Stone LLC,0,ORG
County Line Kennel LLC,0,ORG
COVANCE RESEARCH PRODUCTS INC,0,ORG
Cedar Valley Puppies LLC,0,ORG
Crazy Y Holdings Inc,0,ORG
Creek Bottom Kennels LLC,0,ORG
Creek Side Enterprises,0,ORG
Creek Side Puppies LLC,0,ORG
Creek View Kennel LLC,0,ORG
Creekside Goldendoodles LLC,0,ORG
Creekside Homestead LLC,0,ORG
CREEKSIDE KENNELS LLC,0,ORG
Creekview Canines LLC,0,ORG
"Cross D Ranch, LLC",0,ORG
Crowwoods Homestead LLC,0,ORG
CUDDLY CRITTERS LLC,0,ORG
Cute Critter Kennel LLC,0,ORG
CW Farms,0,ORG
Cyclone Ridge Kennels LLC,0,ORG
D & F Kennel LLC,0,ORG
D'Awesome K9 LLC,0,ORG
Daynes Ridge Kennel LLC,0,ORG
D&K VanDerVliet Inc,0,ORG
DC FARMS LLC,0,ORG
Dallas Park Pets LLC,0,ORG
Deer Hollow Kennel LLC,0,ORG
Dandelion Acres LLC,0,ORG
DANES AND DOODLES LLC,0,ORG
Diamond Doggies LLC,0,ORG
Daniel Gurley LLC,0,ORG
Brooklea Farm LLC,0,ORG
Beechvale Kennel LLC,0,ORG
A&L Repair LLC,0,ORG
Big Gulch Kennels LLC,0,ORG
"Breezy Knoll Belgian, LLC",0,ORG
ALPINE LANE PAWS LTD,0,ORG
Bernard Enterprises Inc.,0,ORG
Big Star Kennel LLC,0,ORG
BK Ventures LLC,0,ORG
"Blu Sky Kennels, LLC",0,ORG
Bruna Kennels LLC,0,ORG
Button Spring Cattle Company LLC,0,ORG
Calperry Furry Friends Ranch LLC,0,ORG
ACORN RIDGE FARM LLC,0,ORG
Beaver Creek Kennel LLC,0,ORG
Berger Des Longwoods LLC,0,ORG
Berry Patch Puppies LLC,0,ORG
BIG BAY KENNELS LLC,0,ORG
Big Pond LLC,0,ORG
BJ'S & Guys LLC,0,ORG
"Black Powder Farm, LLC",0,ORG
Blue House Cavaliers,0,ORG
BLUE SKY KENNEL LLC,0,ORG
ANTECH INC.,0,ORG
Bon Acres LLC,0,ORG
BONNIES ANGELS MALTESE INC,0,ORG
Boulder Oaks Kennel LLC,0,ORG
AR Premium Pets LLC,0,ORG
"Bravo Whiskey Shorthairs, LLC",0,ORG
"Arrow B Farms, LLC",0,ORG
Arrow Valley LLC,0,ORG
AS Enterprises LLC,0,ORG
Brookwood Collies LLC,0,ORG
Burkholder Bulldogs LLC,0,ORG
Butler Family Farm LLC,0,ORG
Candlelight Companions LLC,0,ORG
Caring Paws LLC,0,ORG
414 Kennel LLC,0,ORG
Ayers Legends German Shepherds LLC,0,ORG
B.E. GROTEWOLD D.S. GROTEWOLD,0,ORG
B&R Puppies LLC,0,ORG
Back Road Pets LLC,0,ORG
Backwood Pets LLC,0,ORG
Bailey LLC,0,ORG
BAPTIST RIDGE DOBERMANS INC,0,ORG
