Row Labels,Sum of critical + direct,entity_type
Mary Ann Bontrager,0.0,PERSON
PAM COENEN-SIEG,0.0,PERSON
Mary Ann McGregor,0.0,PERSON
MARIA BEACHY,0.0,PERSON
Mary Catherine Raber,0.0,PERSON
Mary Clark,0.0,PERSON
MICHAEL  ROAM,0.0,PERSON
Mary Ducote,0.0,PERSON
MARCUS RABER,0.0,PERSON
Marcia Smith,0.0,PERSON
Michael Bontrager,0.0,PERSON
Mary Forsyth,0.0,PERSON
Michael E Troyer,0.0,PERSON
MARY FOSTER CATHY GRIESBAUER,0.0,PERSON
Mary Hall,0.0,PERSON
Michael Higby,0.0,PERSON
Mary Huninghake,0.0,PERSON
MICHAEL KOOIKER BEVERLY KOOIKER,0.0,PERSON
Mary Jenkins,0.0,PERSON
Michael L Troyer,0.0,PERSON
Mary Johnson,0.0,PERSON
MICHAEL SCHLABACH,0.0,PERSON
Mary Lou Blaine,0.0,PERSON
MICHAEL SCHWARTZ,0.0,PERSON
MICHAEL TROYER,0.0,PERSON
Mary Miller,0.0,PERSON
MICHELE  BABBITT,0.0,PERSON
Maggie J Bullock,0.0,PERSON
Michele George,0.0,PERSON
Mary Nisley,0.0,PERSON
Michelle Collins  Ranol Collins,0.0,PERSON
MARY NOBLITT,0.0,PERSON
MICHELLE HALL,0.0,PERSON
MARY OLMSTED,0.0,PERSON
Michelle Riggs,0.0,PERSON
MARY PELTON,0.0,PERSON
Michelle Williams,0.0,PERSON
Mary Ramer,0.0,PERSON
MICKEY BENTLEY ELVA BENTLEY TY BENTLEY,0.0,PERSON
Mary Wallace,0.0,PERSON
Marcus Gingerich,0.0,PERSON
Mike and Sharon West,0.0,PERSON
Mary Yoder,0.0,PERSON
Mike Decker,0.0,PERSON
Maryann Otto,0.0,PERSON
Mike Twitchell Jr,0.0,PERSON
MARYELLEN DEUTSCHLE,0.0,PERSON
Mike Widner Donna Widner,0.0,PERSON
Matt and Barb Zimmerman,0.0,PERSON
MIKE ZEIGER ROBBIE ZEIGER VICKY ZEIGER TAMMY ZEIGER,0.0,PERSON
MARCUS GRABER,0.0,PERSON
MILAN KEIM,0.0,PERSON
Matt Ory,0.0,PERSON
Mildred Parmley New,0.0,PERSON
MATT PARK,0.0,PERSON
Matt Pugh,0.0,PERSON
Matthan Schwartz,0.0,PERSON
MILTON BONTRAGER,0.0,PERSON
MATTHEW  GRABER,0.0,PERSON
Mindy Guinn,0.0,PERSON
Matthew & Kayla Raber,0.0,PERSON
Miriam Miller,0.0,PERSON
Matthew A Miller,0.0,PERSON
Misti Fykstra Jason Fykstra,0.0,PERSON
Matthew and Amanda Condren,0.0,PERSON
MARCUS WAGLER,0.0,PERSON
Matthew and Sara Kuhns,0.0,PERSON
MK Acres,0.0,PERSON
Matthew D. and Angie Zimmerman,0.0,PERSON
Matthew Eicher,0.0,PERSON
Molly Francy,0.0,PERSON
MATTHEW HERSCHBERGER,0.0,PERSON
MONICA SHEELEY,0.0,PERSON
Matthew Hilty,0.0,PERSON
Monroe Herschberger,0.0,PERSON
Matthew Hochstetler,0.0,PERSON
MONROE HOCHSTETLER JONATHAN DETWEILER,0.0,PERSON
Matthew J Eicher,0.0,PERSON
Monty Troyer Darci Troyer Ron Troyer Melissa Troyer Brett Troyer Braden Troyer,0.0,PERSON
Matthew J Schwartz,0.0,PERSON
Matthew Kuhns Sara Kuhns,0.0,PERSON
MOSE HERSHBERGER,0.0,PERSON
Matthew Lambright,0.0,PERSON
MOSE TROYER,0.0,PERSON
Matthew Miller,0.0,PERSON
MOSES LANTZ,0.0,PERSON
Matthew R Zimmerman,0.0,PERSON
Moses MK Schwartz,0.0,PERSON
Matthew Schwartz,0.0,PERSON
Moses Schrock,0.0,PERSON
Matthew Sensenig,0.0,PERSON
MOSES ZIMMERMAN ANNA ZIMMERMAN,0.0,PERSON
MATTHEW YODER,0.0,PERSON
MATTIE  MILLER,0.0,PERSON
Myra Conover Allen Conover,0.0,PERSON
MATTIE BONTRAGER PERRY BONTRAGER,0.0,PERSON
Maudie Annette Ramsey,0.0,PERSON
Myron Graber,0.0,PERSON
Marcus K Lantz,0.0,PERSON
Myron Miller,0.0,PERSON
Max and Diane Garrett,0.0,PERSON
MAYDEEN   RUDROFF,0.0,PERSON
Maynard and Christina Miller,0.0,PERSON
NANCY CRANFORD,0.0,PERSON
MB KENNEL,0.0,PERSON
NANCY JOHNSON  D.V.M.,0.0,PERSON
Nancy Long,0.0,PERSON
MC CREARY KENNEL L L C,0.0,PERSON
Nancy Nentrup,0.0,PERSON
Marcus Kaufman,0.0,PERSON
NANCY OGLE,0.0,PERSON
MEAD FREEMAN,0.0,PERSON
Nancy Roeder,0.0,PERSON
Nancy Van Holland,0.0,PERSON
Nancy Williams Martin Williams,0.0,PERSON
Megan Ramm,0.0,PERSON
Natalie Connally,0.0,PERSON
Megan Weatherman,0.0,PERSON
NATHAN  LENGACHER,0.0,PERSON
Mel Otto,0.0,PERSON
NATHAN GRABER LELA GRABER,0.0,PERSON
Melanie Moore Mike Moore,0.0,PERSON
Nathan L Miller,0.0,PERSON
Melinda Wiemann,0.0,PERSON
Nathan Mast,0.0,PERSON
Melissa A Bacon,0.0,PERSON
Nathan Nisley,0.0,PERSON
Melissa Allen,0.0,PERSON
NATHAN SCHWARTZ,0.0,PERSON
Melissa Bilbruck Payne,0.0,PERSON
Nathan Wagler,0.0,PERSON
Melissa Greer,0.0,PERSON
NATHAN WHETSTONE,0.0,PERSON
MELISSA KLOCKE,0.0,PERSON
"Margaret Cook, William Peters",0.0,PERSON
MELISSA MILLER,0.0,PERSON
NATHANIEL HERSHBERGER,0.0,PERSON
Melody Boltz,0.0,PERSON
Neal Feldkamp,0.0,PERSON
Maggie J Schwartz,0.0,PERSON
Margaret Graber,0.0,PERSON
Marcus L Knepp,0.0,PERSON
Neil J Miller,0.0,PERSON
Melvin Dennis Thurman,0.0,PERSON
Nelson and Lucille Weaver,0.0,PERSON
Melvin E Yoder,0.0,PERSON
Margaret Graber Amanda Gaines Smith,0.0,PERSON
MELVIN GRABER,0.0,PERSON
Nelson Miller,0.0,PERSON
Melvin Hershberger,0.0,PERSON
Nelson Reiff,0.0,PERSON
MELVIN JENNINGS,0.0,PERSON
Nelson Wenger,0.0,PERSON
Melvin Knepp,0.0,PERSON
Nenita Morgan,0.0,PERSON
Melvin Mast,0.0,PERSON
NETTIE LETTERMAN,0.0,PERSON
Melvin Miller,0.0,PERSON
NEWELL ROBERTSON VALINDA ROBERTSON,0.0,PERSON
Melvin Mishler,0.0,PERSON
Nicholas Perugini,0.0,PERSON
Melvin Nisley,0.0,PERSON
Nichole Richey,0.0,PERSON
Melvin Otto Wanda Otto,0.0,PERSON
Nicki Lawson,0.0,PERSON
Melvin Schmucker,0.0,PERSON
Nikki Burnside,0.0,PERSON
Melvin Shirk,0.0,PERSON
Nina Harrell,0.0,PERSON
MELVIN THIESEN,0.0,PERSON
Noah Beachy,0.0,PERSON
Melvin Troyer,0.0,PERSON
Noah Herschberger Ervin Herschberger,0.0,PERSON
Melvin Wagler,0.0,PERSON
Noah Lee,0.0,PERSON
Melvin Yoder,0.0,PERSON
Noah Peachey,0.0,PERSON
Noah Shetler,0.0,PERSON
Margaret Odle,0.0,PERSON
Marcus Lambright,0.0,PERSON
Margaret Schultz Scott Schultz,0.0,PERSON
MENNO SCHWARTZ,0.0,PERSON
Norisa White,0.0,PERSON
MENNO WAGLER EMMA WAGLER,0.0,PERSON
Margaret Schwartz,0.0,PERSON
MENNO YODER,0.0,PERSON
MARGARET WILLIS,0.0,PERSON
MENNO ZOOK,0.0,PERSON
Norman A Yoder,0.0,PERSON
Mercedes Thompson,0.0,PERSON
Norman Beck,0.0,PERSON
MERI VIERKANT,0.0,PERSON
Norman Hershberger,0.0,PERSON
Merle  Coblentz,0.0,PERSON
NORMAN KEIM,0.0,PERSON
Marcus Leck,0.0,PERSON
Norman Schmucker,0.0,PERSON
PAM Mc LIN,0.0,PERSON
NORREVA SIMMONS,0.0,PERSON
Pam Middleton,0.0,PERSON
Pam Owen,0.0,PERSON
Mahlon Lambright,0.0,PERSON
MARCUS MILLER,0.0,PERSON
PAT MC GURK,0.0,PERSON
OMER MILLER,0.0,PERSON
Patricia Cheatwood,0.0,PERSON
PATRICIA COLVIN,0.0,PERSON
ORA TROYER,0.0,PERSON
Mabel Zimmerman,0.0,PERSON
Orla Nisley,0.0,PERSON
Mervin E Yoder,0.0,PERSON
Orlie Otto,0.0,PERSON
Mervin Hershberger,0.0,PERSON
ORUS MAST,0.0,PERSON
Mervin J Miller,0.0,PERSON
Orvan Beechy,0.0,PERSON
MERVIN J RABER,0.0,PERSON
Mervin J Schwartz,0.0,PERSON
MARGIE SINK,0.0,PERSON
MERVIN KING,0.0,PERSON
Owen Burkholder,0.0,PERSON
MERVIN MILLER,0.0,PERSON
OWEN HERSHBERGER,0.0,PERSON
Mervin Miller Lizzie Miller,0.0,PERSON
Mervin Raber,0.0,PERSON
Mervin Ramer,0.0,PERSON
Mervin Ray Graber,0.0,PERSON
Paige  Robinson Johnny Robinson,0.0,PERSON
MERVIN SCHWARTZ,0.0,PERSON
Mervin Yoder Lizzie Yoder,0.0,PERSON
Mari Pati,0.0,PERSON
Mervin Z Horst,0.0,PERSON
Pam Miller,0.0,PERSON
Pamela Lynn Allen,0.0,PERSON
Pam Wilson,0.0,PERSON
Pamela Suzanne Parker,0.0,PERSON
Pamela Sellers,0.0,PERSON
Merle Yoder,0.0,PERSON
Merlene Johnson,0.0,PERSON
Pat Bagwell,0.0,PERSON
MERLIN  MILLER,0.0,PERSON
Merlin Bontrager,0.0,PERSON
Merlin J Yoder,0.0,PERSON
Patricia Coleman,0.0,PERSON
Merlin Miller,0.0,PERSON
Patricia Finch,0.0,PERSON
MERLIN YODER,0.0,PERSON
MERRY GUMM,0.0,PERSON
Luis Gonzalez,0.0,PERSON
LINDA BEAN,0.0,PERSON
LEROY MILLER,0.0,PERSON
Karen Jones,0.0,PERSON
"Karen Kennedy, Randy Kennedy",0.0,PERSON
LELA R. WITTMER,0.0,PERSON
Karen Kester,0.0,PERSON
Levi J Hershberger Freda D Hershberger,0.0,PERSON
Karen Kimbrough,0.0,PERSON
Karen McCullough,0.0,PERSON
Lori Ann Winters Carl Michael Winters,0.0,PERSON
Karen Miller,0.0,PERSON
Leah and Roger Yoder,0.0,PERSON
KAREN NORDQUIST,0.0,PERSON
LEON HOSTETLER,0.0,PERSON
Karen Nordquist John Nordquist,0.0,PERSON
Lester Troyer,0.0,PERSON
Karen Rice,0.0,PERSON
LEVI YODER,0.0,PERSON
Karen Ricketts Gene Ricketts,0.0,PERSON
Linda L Crane,0.0,PERSON
KAREN SCHMIDT,0.0,PERSON
LISA ERDENBERGER VLAIR ERDENBERGER,0.0,PERSON
KAREN SCOTT,0.0,PERSON
Karen Brumm Douglas Brumm,0.0,PERSON
KAREN SILKWOOD,0.0,PERSON
KAREN WEBER,0.0,PERSON
Lyndal Swartzentruber,0.0,PERSON
Kari Ann Leroy,0.0,PERSON
Lee Stadel,0.0,PERSON
Kari Eppert,0.0,PERSON
Lenzy Smith,0.0,PERSON
Karin Belden,0.0,PERSON
Leon Yoder LuAnn Yoder,0.0,PERSON
Karl L Yoder,0.0,PERSON
Leslie Albert,0.0,PERSON
Karla Warner,0.0,PERSON
Levi D. Miller Daniel L. Miller,0.0,PERSON
Karma Habiger,0.0,PERSON
Levi S Stoltzfus,0.0,PERSON
Kasey Ellison,0.0,PERSON
KAREAWAY KENNELS,0.0,PERSON
KASEY LOWRIE,0.0,PERSON
Karen  Becker,0.0,PERSON
Kasey Simpson,0.0,PERSON
Linda Wagler,0.0,PERSON
Lisa  Woodyard Terry Woodyard,0.0,PERSON
KATHERINE BORNTREGER AARON BORNTREGER,0.0,PERSON
Lloyd Buck,0.0,PERSON
KATHERINE REECE DON REECE,0.0,PERSON
Lonnie Herschberger Louise Herschberger Larry Herschberger,0.0,PERSON
Katherine Reed,0.0,PERSON
Loren J. Wagler,0.0,PERSON
KATHERINE STEINBACH,0.0,PERSON
Lou Ann Brown,0.0,PERSON
Kathi Cooper,0.0,PERSON
LOWELL DEMAREE CAROLYN DEMAREE,0.0,PERSON
Kathie Detweiler,0.0,PERSON
LYDIA WAGLER DONNIE WAGLER IRENE WAGLER,0.0,PERSON
Kathleen O Martin,0.0,PERSON
Lynn Yoder,0.0,PERSON
Kathleen Ramer,0.0,PERSON
Leann Terrill,0.0,PERSON
Kathrine Stauffer,0.0,PERSON
Legend Bullz,0.0,PERSON
Kathryn Michaels Robert Pierce,0.0,PERSON
Lena Sensenig,0.0,PERSON
Kathryn Sue Sunnenberg,0.0,PERSON
Leon A Yoder,0.0,PERSON
LEON MILLER,0.0,PERSON
Kathryn Totten,0.0,PERSON
LEROY  YODER,0.0,PERSON
Kathy Brown,0.0,PERSON
Leroy Yoder and Martha Jean Yoder,0.0,PERSON
Kathy Darter,0.0,PERSON
Lester Dean Knepp,0.0,PERSON
Kathy Embrey,0.0,PERSON
LEVI  HOSTETLER,0.0,PERSON
KATHY HAMBLEN,0.0,PERSON
LEVI HERSHBERGER JR,0.0,PERSON
Kathy Hammond,0.0,PERSON
Levi M Stoltzfus,0.0,PERSON
KATHY KNOLL LARRY KNOLL,0.0,PERSON
LEVI TROYER LOVINA TROYER,0.0,PERSON
KATHY KRONER,0.0,PERSON
LEWIS GRAGE,0.0,PERSON
KATHY MARTIN AARON MARTIN,0.0,PERSON
LILLIE JAMES,0.0,PERSON
Kathy Meringdol,0.0,PERSON
LINDA BUTLER,0.0,PERSON
"Kathy Parish, Caleb Nichols",0.0,PERSON
Linda Jarrell Glenda Cobb,0.0,PERSON
Kathy Russell,0.0,PERSON
LINDA PICKERING CHARLES PICKERING,0.0,PERSON
Kathy Sanborn,0.0,PERSON
Linda Winship,0.0,PERSON
Kathy Slobe,0.0,PERSON
LINETTE SWARR,0.0,PERSON
Kathy Uder,0.0,PERSON
Lisa Cardenzana,0.0,PERSON
KATHY WHITE,0.0,PERSON
Lisa Madl,0.0,PERSON
KATHY ZOMER,0.0,PERSON
Justin Raber,0.0,PERSON
Katie A Gingerich,0.0,PERSON
Lonnie & Shelly Cox,0.0,PERSON
KATIE GINGERICH,0.0,PERSON
Lora A Berry,0.0,PERSON
Katie Keener,0.0,PERSON
LOREN  MILLER,0.0,PERSON
Katie L Mast,0.0,PERSON
KAREN COTTRELL,0.0,PERSON
Katie Lengacher,0.0,PERSON
LORI NOLT,0.0,PERSON
Katie Miller Merle Miller,0.0,PERSON
LOUIS A GRABER,0.0,PERSON
KATRINA OVERCAST,0.0,PERSON
Lovella Lawson,0.0,PERSON
KATY BORKHOLDER EZRA  BORKHOLDER,0.0,PERSON
Lucile Zimmerman,0.0,PERSON
Kayann Herrman,0.0,PERSON
Karen DeRagon,0.0,PERSON
Kayla Bonham,0.0,PERSON
Karen Hoover,0.0,PERSON
Kayla McGehee,0.0,PERSON
Lynn Long,0.0,PERSON
Kayla Mulder,0.0,PERSON
Kayla Stoll,0.0,PERSON
LEAH YODER,0.0,PERSON
KAYLA VANDIVER,0.0,PERSON
Leanna Kurtz,0.0,PERSON
Kayle Stump,0.0,PERSON
Lela Hughs,0.0,PERSON
Leland Rozeboom,0.0,PERSON
Keely McKee,0.0,PERSON
Lendar Kennels,0.0,PERSON
KEISHA MORELAND,0.0,PERSON
Leo and Alice Kenkel,0.0,PERSON
KEITH  PLANK,0.0,PERSON
Leon and LuAnn Yoder,0.0,PERSON
Keith and Penny Wingo,0.0,PERSON
Leon J Miller,0.0,PERSON
Keith Chupp,0.0,PERSON
Leon Schlabach,0.0,PERSON
Keith Dotson Tawny Dotson,0.0,PERSON
Leonard Bontrager,0.0,PERSON
Keith Harris,0.0,PERSON
LEROY D YODER,0.0,PERSON
Keith Irwin,0.0,PERSON
LEROY SCHLABACH,0.0,PERSON
Keith Jensen,0.0,PERSON
Les and Julie Geurin,0.0,PERSON
Keith Kahlo and Michelle Kumke,0.0,PERSON
Leslie Rogers,0.0,PERSON
Keith Linenbrink Janease Linenbrink,0.0,PERSON
LESTER MARTIN,0.0,PERSON
KEITH MILLER,0.0,PERSON
Lester Yoder,0.0,PERSON
KEITH PILES RHONDA PILES,0.0,PERSON
Levi Borntrager,0.0,PERSON
Keith Rozin & Anna Odle,0.0,PERSON
LEVI ERB,0.0,PERSON
Keith Rozin Joann Rozin,0.0,PERSON
Levi J & Fannie Borntreger,0.0,PERSON
Keith Schweitzer,0.0,PERSON
Levi Kurtz,0.0,PERSON
Keitha Horn,0.0,PERSON
LEVI NISLEY,0.0,PERSON
Keli Shover Lynn Watts,0.0,PERSON
Levi Stoltzfus,0.0,PERSON
Kelly Brown,0.0,PERSON
Levi Wagler Abraham Graber,0.0,PERSON
Kelly Degen Faye Degen,0.0,PERSON
Lewis & Lamar Kaufman,0.0,PERSON
KELLY ESSARY,0.0,PERSON
Lexi N Shelton,0.0,PERSON
Kelly Hoyt,0.0,PERSON
LILLIAN WALLACE,0.0,PERSON
Kelly Jones Steven Jones,0.0,PERSON
Linda Banwart,0.0,PERSON
Kelly Luttrell,0.0,PERSON
LINDA BURRIER,0.0,PERSON
Kelly Schelling,0.0,PERSON
Linda Fears,0.0,PERSON
Kelly Simpson,0.0,PERSON
Linda Hope,0.0,PERSON
Kelly Young,0.0,PERSON
LINDA JUSTASON C JUSTASON,0.0,PERSON
Kemp Kennels,0.0,PERSON
LINDA MCALPIN,0.0,PERSON
KEMPS KENNELLS,0.0,PERSON
Linda Swarr,0.0,PERSON
KEN HOWARD LOIS HOWARD,0.0,PERSON
LINDA WILCOX,0.0,PERSON
KEN WAUGH BETH WAUGH,0.0,PERSON
"Linda, Stanley, and Bethany Korver",0.0,PERSON
KENDALL BLOSSER,0.0,PERSON
Lindsey Forquer,0.0,PERSON
Kendall Wright,0.0,PERSON
Linn Scharn,0.0,PERSON
Kendra Reiff,0.0,PERSON
Lisa Boyd,0.0,PERSON
KENDRA RICHARDS,0.0,PERSON
Lisa Cox,0.0,PERSON
Kendrick Raber,0.0,PERSON
LISA HANTEN,0.0,PERSON
Kenneth  Shelton Ellora Jane Shelton,0.0,PERSON
KENNETH  WASHAUSEN,0.0,PERSON
Lloyd Z. Nolt,0.0,PERSON
KENNETH ANGLIN,0.0,PERSON
Lois Howard Kim Stark,0.0,PERSON
Kenneth Baker Kristina Baker Linda Baker Linda McClary,0.0,PERSON
Lonnie Gingerich,0.0,PERSON
KENNETH BEATY SR.,0.0,PERSON
LONNIE WITTMER,0.0,PERSON
Kenneth Garman,0.0,PERSON
Lora Brammer Glen  Brammer,0.0,PERSON
Kenneth J Graber,0.0,PERSON
LORELEI JENNINGS,0.0,PERSON
Kenneth Martin,0.0,PERSON
Loren Graber,0.0,PERSON
KENNETH MILLER,0.0,PERSON
Loren Nolt,0.0,PERSON
Kenneth Orrell,0.0,PERSON
Loretta Leinbach,0.0,PERSON
Kenneth Ray Stoll,0.0,PERSON
LORI CLAYCAMP,0.0,PERSON
KENNETH SCHLABACH,0.0,PERSON
LORRAINE FAUS,0.0,PERSON
Kenneth Schmucker,0.0,PERSON
Louella Burkholder,0.0,PERSON
Kenneth Troyer,0.0,PERSON
Louise Hite,0.0,PERSON
Kenneth W Yoder,0.0,PERSON
Kenneth Waugh,0.0,PERSON
Kenneth Zimmerman,0.0,PERSON
Kenny Joe Knepp,0.0,PERSON
Lucinda Rissler,0.0,PERSON
KENNY WAGLER,0.0,PERSON
Luke and Waneta Miller,0.0,PERSON
Kent Horn Ellen Horn,0.0,PERSON
Lydia Ann Beachy Harvey Beachy,0.0,PERSON
LYLE HOCHSTETLER,0.0,PERSON
Kerri Farris,0.0,PERSON
LYLE RENNER JOHN RENNER,0.0,PERSON
Kerri Zomer Matt Zomer,0.0,PERSON
Lynette Addison,0.0,PERSON
Kerry Wittmer,0.0,PERSON
Lynn Stewart,0.0,PERSON
KEVIN  BONTRAGER,0.0,PERSON
KEVIN  WITTMER,0.0,PERSON
Lea Jacobs,0.0,PERSON
Kevin and Janette Hatfield,0.0,PERSON
Leah Green Floy Green,0.0,PERSON
Kevin Beechy,0.0,PERSON
LeAnn Roy,0.0,PERSON
KEVIN ELSEA TERESA ELSEA,0.0,PERSON
LEANNA GRABER RYAN GRABER,0.0,PERSON
Kevin Hall,0.0,PERSON
Lee and Janet Zimmerman,0.0,PERSON
KEVIN JAY GRABER,0.0,PERSON
KEVIN KACHMARYK,0.0,PERSON
Kamber Beller,0.0,PERSON
KEVIN KNEPP,0.0,PERSON
Lela R Wittmer,0.0,PERSON
Kevin Miller,0.0,PERSON
Leland D. Wagler,0.0,PERSON
KEVIN NEFF SHARON NEFF,0.0,PERSON
LENA OBERHOLTZER,0.0,PERSON
Kevin Ray Miller,0.0,PERSON
Lena Troyer,0.0,PERSON
Kevin Street,0.0,PERSON
Lenny Hostetler,0.0,PERSON
Kevin Taylor,0.0,PERSON
LENZY SMITH DEBORAH SMITH,0.0,PERSON
Kevin Wagler,0.0,PERSON
Leon A Miller,0.0,PERSON
Kevin Wagler Rachel Wagler,0.0,PERSON
LEON A. YODER,0.0,PERSON
Kevin Yoder & Rhoda Yoder,0.0,PERSON
Leon Bontrager,0.0,PERSON
KEVIN ZIMMERMAN,0.0,PERSON
Leon I Miller,0.0,PERSON
Kim Gray,0.0,PERSON
Leon Jay Troyer,0.0,PERSON
Kandy Hale,0.0,PERSON
Kimberely Higgins,0.0,PERSON
Kimberley Toombs,0.0,PERSON
LEONA WIENHAUS,0.0,PERSON
Kimberlie Thetford,0.0,PERSON
Leonard Good,0.0,PERSON
Kimberly Ann Gilmore,0.0,PERSON
KAREN HICKS DANNY HICKS,0.0,PERSON
Karen Hubbard,0.0,PERSON
LEROY ESH,0.0,PERSON
Kara Crass,0.0,PERSON
Leroy S Borntreger,0.0,PERSON
LEROY WEAVER,0.0,PERSON
Kody Killingsworth,0.0,PERSON
Leroy Zimmerman,0.0,PERSON
Lesli Mecom,0.0,PERSON
Leslie French,0.0,PERSON
Kris A Goodman,0.0,PERSON
LESTER D MILLER,0.0,PERSON
KRIS MACKAY,0.0,PERSON
Lester Kemp,0.0,PERSON
KRISTEN HURST,0.0,PERSON
Lester Schlabach,0.0,PERSON
Kristen Joe Knepp,0.0,PERSON
Lester Wagler,0.0,PERSON
Kristi Rath,0.0,PERSON
LEVI  BORNTRAGER REBECCA BORNTRAGER,0.0,PERSON
Levi A Erb,0.0,PERSON
Kristin Cooper,0.0,PERSON
Levi D Troyer,0.0,PERSON
KRISTINA ERICSON,0.0,PERSON
Levi E Borntrager,0.0,PERSON
Kristine Spears,0.0,PERSON
Kara Miller,0.0,PERSON
Kristine Stutzman Darin Stutzman,0.0,PERSON
Levi Hertzler,0.0,PERSON
Kristy A Hoerath,0.0,PERSON
Levi J and Samuel Petersheim,0.0,PERSON
KRISTY JAMROZ,0.0,PERSON
Levi J Miller,0.0,PERSON
Levi Lawrence,0.0,PERSON
Krystal Tangeman,0.0,PERSON
Levi Miller,0.0,PERSON
LEVI RABER,0.0,PERSON
Levi Snow,0.0,PERSON
Kurtis and Kayla Butler,0.0,PERSON
LEVI TROYER,0.0,PERSON
Kyle D Fry,0.0,PERSON
LEVI WAGLER,0.0,PERSON
Kyle Dugger,0.0,PERSON
LEVI WILLIAM HELMUTH,0.0,PERSON
Kyle Holtkamp,0.0,PERSON
"Levi, Daniel, Jeremy and Titus Miller",0.0,PERSON
KYLIE BYRN,0.0,PERSON
Lewis Bloom,0.0,PERSON
Kylie D Good,0.0,PERSON
LEWIS YUTZY,0.0,PERSON
Lillian I. Lehman,0.0,PERSON
LA DONNA DAILEY,0.0,PERSON
LILLIE GRABER JOHN GRABER,0.0,PERSON
Lacey Kauffman,0.0,PERSON
Linda and Ervin Yoder,0.0,PERSON
Lacey Staub-Muller,0.0,PERSON
Linda Barton Richard Barton,0.0,PERSON
Ladon Miller,0.0,PERSON
Linda Brasher,0.0,PERSON
Linda Buscher,0.0,PERSON
Linda C Andersen,0.0,PERSON
LAMAR  ZIMMERMAN,0.0,PERSON
Linda Gray,0.0,PERSON
LAMAR AND JOLENE YODER,0.0,PERSON
Linda Hewitt,0.0,PERSON
Lamar and Rose Zimmerman,0.0,PERSON
LINDA ISENSEE,0.0,PERSON
Kacey McGowan,0.0,PERSON
Linda Jorgenson,0.0,PERSON
Lamar Graber,0.0,PERSON
Linda Kent,0.0,PERSON
Lamar M Zimmerman,0.0,PERSON
Linda Leach,0.0,PERSON
Lamar Martin,0.0,PERSON
Linda Mulder,0.0,PERSON
Lamar Miller,0.0,PERSON
Linda Schacht,0.0,PERSON
Lana Arnall,0.0,PERSON
Karen and Douglas Brumm,0.0,PERSON
Landon Headings,0.0,PERSON
LINDA WANAMAKER,0.0,PERSON
Linda Williams and Matt Williams,0.0,PERSON
Laquica Watts,0.0,PERSON
LINDA WULFF-RISNER,0.0,PERSON
LINDELL CORIASCO,0.0,PERSON
LARRY  KNOLL,0.0,PERSON
LINDSAY  HOLT,0.0,PERSON
Larry & Clarence Otto,0.0,PERSON
Karen Baker,0.0,PERSON
Kae Hamilton,0.0,PERSON
LINFORD MILLER,0.0,PERSON
Larry Cox,0.0,PERSON
Linnie and June Boyd,0.0,PERSON
Larry Crowley Debra Crowley,0.0,PERSON
LISA BANEY SHAWN BANEY,0.0,PERSON
Larry D Raber,0.0,PERSON
Lisa Byler Rufus Byler,0.0,PERSON
Larry D. Stutzman,0.0,PERSON
LISA COPELAND,0.0,PERSON
LARRY ENGEL,0.0,PERSON
Lisa D. Knepp,0.0,PERSON
LARRY FLEMMING,0.0,PERSON
Lisa Fielder,0.0,PERSON
LARRY GRABER,0.0,PERSON
LISA M. ERDENBERGER,0.0,PERSON
Larry Hochstetler,0.0,PERSON
Lisa Walker,0.0,PERSON
LARRY HOWARD LINDA HOWARD,0.0,PERSON
LARRY JACKS JUDY JACKS,0.0,PERSON
Lloyd Riehl,0.0,PERSON
Larry Jones Karen Jones,0.0,PERSON
Lloyda Tharp,0.0,PERSON
Larry L Yoder,0.0,PERSON
Lois Hoover,0.0,PERSON
Larry Miller,0.0,PERSON
LOIS KUEPFER,0.0,PERSON
LARRY P. SMITH,0.0,PERSON
Kali Kuster,0.0,PERSON
Lonita Kress,0.0,PERSON
LARRY RABER,0.0,PERSON
Lonnie Bontrager,0.0,PERSON
Larry Stark,0.0,PERSON
LONNIE GRABER,0.0,PERSON
Larry Steffensmeier,0.0,PERSON
LONNIE LAMBRIGHT,0.0,PERSON
LARRY VAN ZEE,0.0,PERSON
Lonnie Yoder,0.0,PERSON
LARRY YODER,0.0,PERSON
LORA BRAMMER DENISE REYNOLDS,0.0,PERSON
LORA JO MONKS,0.0,PERSON
LAURA ANDERSON,0.0,PERSON
LORA SINGLETON,0.0,PERSON
Laura Durbin,0.0,PERSON
Lorellen Bontrager,0.0,PERSON
Laura Groeneweg,0.0,PERSON
LOREN D WAGLER,0.0,PERSON
Laura Hannaford,0.0,PERSON
Loren H Martin,0.0,PERSON
Laura Hershberger,0.0,PERSON
Karen Carr,0.0,PERSON
Laura Horton,0.0,PERSON
Loren Reiff,0.0,PERSON
LAURA KOCH,0.0,PERSON
LORETTA  HERSCHBERGER JASON HERSCHBERGER,0.0,PERSON
LAURA PERRY,0.0,PERSON
LORETTA LOWRY,0.0,PERSON
LAURA SLUSHER,0.0,PERSON
Lori Caldwell,0.0,PERSON
Laura Williams,0.0,PERSON
Lori Huber,0.0,PERSON
Laure Braun,0.0,PERSON
Lorna Dismang,0.0,PERSON
LAUREN  HAAS,0.0,PERSON
Lorraine Reiff,0.0,PERSON
Laurie Brue,0.0,PERSON
LOUANNE DURHAM,0.0,PERSON
LaVern and Anna Mast,0.0,PERSON
