Row Labels,Sum of critical + direct,entity_type
WANDA  MULLETT ALVIN MULLETT,0.0,PERSON
Weifang Xu,0.0,PERSON
William and Pamela Fattig,0.0,PERSON
Willie Yoder Thomas Yoder,0.0,PERSON
Tonya Buck,0.0,PERSON
Travis Britton Jodi Britton,0.0,PERSON
SPRINGCREEK KENNEL,0.0,PERSON
Springset Gordon Setters,0.0,PERSON
URA MILLER,0.0,PERSON
Verlin Miller,0.0,PERSON
Stacie Garrett,0.0,PERSON
Vernon M Raber,0.0,PERSON
Stacie Stutesman,0.0,PERSON
Vickie Hines,0.0,PERSON
Stacy Davis,0.0,PERSON
Stacy Herndon Bryan Herndon,0.0,PERSON
Stacy Hutson,0.0,PERSON
Warren M Brubaker,0.0,PERSON
Stacy Jones,0.0,PERSON
Wayne Martin,0.0,PERSON
Stacy Whitman,0.0,PERSON
Wes Smith Katrina Smith,0.0,PERSON
Stanton T Martin,0.0,PERSON
William F Yoder,0.0,PERSON
Stephanie Atwood,0.0,PERSON
William Slabaugh,0.0,PERSON
STEPHANIE HINNERS BRAD HINNERS,0.0,PERSON
WILLIS TROYER,0.0,PERSON
STEPHANIE REYNOLDS ELLEN DAVIS,0.0,PERSON
Tommie Fodge,0.0,PERSON
Stephen A Bennett,0.0,PERSON
Tori Cox,0.0,PERSON
Stephen and Mary Elizabeth Stoltzfus,0.0,PERSON
TRACY MITCHELL,0.0,PERSON
Stephen B Swarey,0.0,PERSON
TRAVIS ZOMER KARA ZOMER,0.0,PERSON
Stephen Cord Petersen,0.0,PERSON
TRINA THOMAS,0.0,PERSON
Stephen Raber,0.0,PERSON
TROY KROPF,0.0,PERSON
Sherry Curtis,0.0,PERSON
Tyler Gerlach,0.0,PERSON
Stephen Schwartz,0.0,PERSON
VALERIE SINDEN STEPHEN SINDEN,0.0,PERSON
Sherry Fomby,0.0,PERSON
VELMA SCHROCK ROBERT SCHROCK,0.0,PERSON
STEPHEN STOLTZFOOS,0.0,PERSON
VERNA RABER,0.0,PERSON
STEPHEN STUTZMAN,0.0,PERSON
VERNON BURKHOLDER,0.0,PERSON
Stephen Tackitt,0.0,PERSON
SIBERIA HUSKY KENNEL,0.0,PERSON
Stephen Willis,0.0,PERSON
